,Watershed,Subsubwatershed,Product,Areaini,Areareproj,Surfmax,Surfmin,Surfavg,max,min,avg,Surfcloudmax,Surfcloudmin,Surfcloudavg,Surfbadpixmax,Surfbadpixmin,Surfbadpixavg,date
25,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0,0.0,0.0,0.0,0.0,0.0,55.86491972540835,47.76155480846631,51.81323726693733,0.0,0.0,0.0,2015-09-29
26,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-04-05
27,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002-02-01
28,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005-04-06
29,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.1073293366482388,0.1073293366482388,0.1073293366482388,0.5778,0.5778,0.5778,14.221137105891655,11.323245016389205,12.772191061140427,0.0,0.0,0.0,2002-12-02
30,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0,0.0,0.0,0.0,0.0,0.0,5.742119510680781,3.7028621143642417,4.722490812522511,0.0,0.0,0.0,2006-10-31
31,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-03-04
32,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0,0.0,0.0,0.0,0.0,0.0,0.1073293366482388,0.0,0.0536646683241194,0.0,0.0,0.0,2008-12-17
33,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0,0.0,0.0,0.0,0.0,0.0,105.9340552718118,89.83465477457595,97.88435502319388,0.0,0.0,0.0,2015-06-25
34,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-02
35,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.1073293366482388,0.1073293366482388,0.1073293366482388,0.48905,0.48905,0.48905,86.13179266021172,72.76929024750598,79.45054145385885,0.0,0.0,0.0,2016-07-26
36,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0,0.0,0.0,0.0,0.0,0.0,2.522239411233614,1.2879520397788669,1.9050957255062408,0.0,0.0,0.0,2008-10-14
37,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-03-05
38,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-05
39,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0,0.0,0.0,0.0,0.0,0.0,373.774414877492,344.09785329425387,358.93613408587294,0.0,0.0,0.0,2007-07-11
40,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0536646683241194,0.0536646683241194,0.0536646683241194,0.4283,0.4283,0.4283,0.0,0.0,0.0,0.0,0.0,0.0,2001-02-01
41,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0536646683241194,0.0536646683241194,0.0536646683241194,0.4009,0.4009,0.4009,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-16
42,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0536646683241194,0.0536646683241194,0.0536646683241194,0.432,0.432,0.432,18.138657893552374,14.48946044751225,16.31405917053231,0.0,0.0,0.0,2001-05-08
43,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.2683233416205972,0.2683233416205972,0.2683233416205972,0.51428,0.51428,0.51428,176.66408812300122,151.92467602558216,164.2943820742917,0.0,0.0,0.0,2005-06-25
44,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0,0.0,0.0,0.0,0.0,0.0,0.5366466832411945,0.2146586732964777,0.3756526782688361,0.0,0.0,0.0,2017-04-06
45,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0536646683241194,0.0536646683241194,0.0536646683241194,0.4012,0.4012,0.4012,0.3756526782688361,0.0,0.187826339134418,0.0,0.0,0.0,2003-02-01
46,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0536646683241194,0.0536646683241194,0.0536646683241194,0.4115,0.4115,0.4115,0.0,0.0,0.0,0.0,0.0,0.0,2006-01-03
47,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-04-06
48,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-03-05
49,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0,0.0,0.0,0.0,0.0,0.0,23.55878939428844,20.39257396316539,21.975681678726914,0.0,0.0,0.0,2004-09-12
50,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0,0.0,0.0,0.0,0.0,0.0,0.9122993615100304,0.2146586732964777,0.5634790174032541,0.0,0.0,0.0,2019-05-24
51,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-04-06
52,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0,0.0,0.0,0.0,0.0,0.0,76.6868110351667,63.27064395413682,69.97872749465176,0.0,0.0,0.0,2014-06-25
53,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0,0.0,0.0,0.0,0.0,0.0,28.44227421178331,25.651711458929096,27.046992835356203,0.0,0.0,0.0,2005-08-28
54,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-12-18
55,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-03
56,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.1609940049723583,0.1609940049723583,0.1609940049723583,0.4728,0.4728,0.4728,94.98646293369144,80.49700248617917,87.74173270993529,0.0,0.0,0.0,2000-06-08
57,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0536646683241194,0.0536646683241194,0.0536646683241194,0.6473,0.6473,0.6473,71.2130148661065,60.26542252798614,65.73921869704633,0.0,0.0,0.0,2020-06-24
58,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.1609940049723583,0.0536646683241194,0.1073293366482389,0.5241333333333333,0.4659,0.4950166666666666,56.45523107697366,49.317830189865774,52.88653063341972,0.0,0.0,0.0,2007-05-24
59,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0,0.0,0.0,0.0,0.0,0.0,4.024850124308959,2.4149100745853755,3.219880099447167,0.0,0.0,0.0,2004-12-01
60,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005-03-05
61,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006-04-06
62,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0,0.0,0.0,0.0,0.0,0.0,52.1620576110441,49.37149485818989,50.766776234617,0.0,0.0,0.0,2003-09-13
63,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.5366466832411945,0.5366466832411945,0.5366466832411945,0.4906799999999999,0.4906799999999999,0.4906799999999999,109.5832527178519,98.85031905302802,104.21678588543996,0.0,0.0,0.0,2002-08-28
64,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0536646683241194,0.0536646683241194,0.0536646683241194,0.4009,0.4009,0.4009,0.7513053565376723,0.5366466832411945,0.6439760198894333,0.0,0.0,0.0,2008-03-20
65,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0,0.0,0.0,0.0,0.0,0.0,0.0536646683241194,0.0,0.0268323341620597,0.0,0.0,0.0,2004-06-08
66,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004-04-21
67,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0,0.0,0.0,0.0,0.0,0.0,24.524753424122583,20.821891309758342,22.673322366940468,0.0,0.0,0.0,2001-06-09
68,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.1609940049723583,0.1609940049723583,0.1609940049723583,0.4646999999999999,0.4646999999999999,0.4646999999999999,274.65577248284336,241.22268411691687,257.93922829988014,0.0,0.0,0.0,2014-06-09
69,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.1073293366482388,0.1073293366482388,0.1073293366482388,0.4279,0.4279,0.4279,0.0,0.0,0.0,0.0,0.0,0.0,2010-02-01
70,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0,0.0,0.0,0.0,0.0,0.0,1.663604718047703,0.8586346931859111,1.261119705616807,0.0,0.0,0.0,2020-09-28
71,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0,0.0,0.0,0.0,0.0,0.0,0.3219880099447167,0.0,0.1609940049723583,0.0,0.0,0.0,2020-10-30
72,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0,0.0,0.0,0.0,0.0,0.0,49.53248886316225,41.96577062946141,45.74912974631183,0.0,0.0,0.0,2012-05-23
73,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003-04-22
74,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0,0.0,0.0,0.0,0.0,0.0,0.0536646683241194,0.0,0.0268323341620597,0.0,0.0,0.0,2008-12-01
75,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-03
76,Atacama_Copiapo,0,MOD13Q1,803.6343650426288,805.5868028591523,0.0,0.0,0.0,0.0,0.0,0.0,400.44575503457935,366.6370139903841,383.5413845124817,0.0,0.0,0.0,2000-07-26
